Sequence size,Momentum,decay,Learning rate,Batch Size,Epochs,Neurons,Loss,elapsed_sec
29,0.994572931752701,1.34781259711431E-06,0.003242484712202,24,1013,42,-0.00042220813921,17105.7360088825
13,0.991368887495716,2.50587040290759E-06,0.004144745830655,30,505,32,-0.000451230285197,4659.24211621284
10,0.992331383162155,2.21431240344594E-06,0.019296580749991,26,581,43,-0.000455438764389,3583.28929710388
15,0.994931211907384,5.4318387235372E-06,0.019854653733914,15,267,50,-0.000587356248274,1480.20078969002
6,0.995895022229152,8.05387413742256E-06,0.008621659200515,29,203,77,-0.000588172303003,2317.52783513069
17,0.991014061131294,1.38012716945755E-06,0.059714309236808,18,900,42,-0.000590314613493,6669.36414432526
7,0.998766586700931,2.81517829543778E-06,0.038234348051754,21,1057,79,-0.00061501144629,3832.56944036484
7,0.990955565881715,2.94567761876609E-06,0.031701329630198,25,202,89,-0.000668767748767,2561.1837413311
24,0.996879274670541,7.90968800512435E-06,0.017127429668448,15,408,78,-0.000698596445299,3780.45599174499
7,0.998133062523719,3.31160516691877E-06,0.041071987459026,16,381,60,-0.000714630713198,1046.96861982346
5,0.990108928641986,3.86194706717294E-06,0.01910242168462,24,200,90,-0.00074029049176,2288.95438480377
6,0.990869265727441,3.46512071268174E-06,0.06589075646426,29,202,63,-0.000766854889012,1896.75160193443
9,0.995674167566414,3.90818332054202E-06,0.028124125836365,29,461,16,-0.000782421822784,2772.48246860504
18,0.997277685860406,7.19078097826902E-06,0.051132452854902,14,262,60,-0.000786986907495,1662.87444853783
12,0.996555384553824,4.31739010433903E-06,0.050538150056831,15,223,33,-0.000789245967217,981.053204536438
22,0.990678535971111,9.03306918362594E-06,0.002770388498944,14,746,68,-0.000789724091322,5837.18361711502
7,0.992653961554256,9.58156600964835E-06,0.05700904720056,19,202,43,-0.000804097162294,1640.09791779518
15,0.991160768105516,9.42710020674071E-06,0.023541326518961,21,1124,83,-0.000812327281494,8959.07399249077
6,0.994250190117953,4.51114574517468E-06,0.054791199476356,24,1011,58,-0.000836099744771,3400.52449250221
10,0.998195846807517,8.64503711503727E-06,0.023625425099003,29,204,85,-0.000842607780407,3192.31766009331
7,0.993060827561817,5.00272303645186E-06,0.057982515407363,25,693,100,-0.000843784049611,3058.41275691986
7,0.990216220763002,5.49154169794473E-06,0.067749186115357,28,1070,25,-0.000878594230593,4817.87281990051
17,0.991558631773511,5.41950041308901E-06,0.023387661170008,21,200,22,-0.000879783969028,2561.16447997093
15,0.997885837737847,5.06720182169244E-06,0.010780357003817,29,200,29,-0.000901966865058,3363.66349744797
14,0.990687471182921,6.75903218105873E-06,0.022689437590582,17,558,66,-0.000932991006294,3379.36423158646
9,0.993098714209419,6.38275602957545E-06,0.050259384896861,19,1029,38,-0.000933577469753,4126.9807035923
9,0.990573750456702,8.76740532474395E-06,0.063410943361402,25,1019,37,-0.000939877707143,5357.53376150131
26,0.998773560474593,1.35652763355113E-06,0.023368569758673,14,204,82,-0.000943583855973,2536.03972506523
12,0.993680953891274,3.35666664912708E-06,0.038595366154185,30,202,59,-0.000956374207938,3459.7978990078
27,0.998920881351373,9.4945274934026E-06,0.027285405707344,13,298,98,-0.000979383437792,2772.50863862038
5,0.996227693495475,5.64654151407142E-06,0.082404220916648,30,842,37,-0.000998652102492,2883.31221222878
23,0.997973857169338,9.92792316203711E-06,0.023659458296679,23,411,43,-0.001008878854541,5297.31549310684
6,0.998618518102452,8.22475377541975E-06,0.022970651476848,6,203,15,-0.00102270268095,1199.60229372978
9,0.997655772578701,5.7160250656048E-06,0.056256486344482,25,899,91,-0.00102823495802,5143.57216525078
15,0.991953418677064,7.65446703253503E-06,0.096598172333753,26,405,40,-0.001100715854925,6495.11659002304
5,0.995288649687894,9.65020492099315E-06,0.099763229057219,15,1192,37,-0.001105014863326,2067.76224565506
16,0.993271608259185,3.17025160180822E-06,0.097778755357771,24,1009,47,-0.001112767415604,19240.8494329453
20,0.994687791247342,7.41248314047716E-06,0.04164068466979,17,940,68,-0.001138371537847,7980.49439430237
5,0.992951143427327,2.46872631436169E-06,0.04515466458665,24,200,96,-0.001150341776945,2451.08839845657
22,0.990322282066046,1.95929354054098E-06,0.001775435633451,14,1181,31,-0.001163555844919,8656.90389108658
13,0.99449966392562,1.15098149430801E-06,0.004568871324884,25,272,43,-0.001168066028959,2133.47060251236
17,0.990303749666153,1.34191696595879E-06,0.099637632937481,12,978,53,-0.001177700248089,9167.53890442848
6,0.99435416831365,1.99426364413346E-06,0.031315943120433,22,202,14,-0.001186976948977,1527.46556854248
5,0.995310247728041,9.14418514107024E-06,0.06454177060316,23,201,20,-0.001277233723465,1557.38071680069
19,0.99557081968042,2.71451299361723E-06,0.099720116742292,20,1178,42,-0.00133948292199,21066.6721892357
27,0.996450873847633,3.15977279519343E-06,0.004173249418913,8,733,50,-0.001358913391009,3848.85022211075
5,0.998199243699994,5.38779392438652E-06,0.096033312218923,8,200,44,-0.001450260473148,2318.33564019203
18,0.995796441670196,1.86740362235237E-06,0.02988517500442,26,203,44,-0.001485351676029,4216.04161214828
