Batch size,Momentum,decay,Learning rate,Epochs,Neurons,Sequence size,Loss,elapsed_sec
6,0.993341988166849,7.52744595923783E-06,0.00926033646075,838,39,23,-0.001965998051884,15143.9939348698
6,0.991427549625235,5.36115171601667E-06,0.01016623481504,922,66,24,-0.001970542937844,19822.3172347546
7,0.995986713844735,4.99106720664931E-06,0.004647783643053,976,46,24,-0.001987046147251,12938.6768770218
6,0.998785361751353,5.93786768440291E-06,0.006582952615062,799,85,23,-0.002026473254112,9469.63183999062
20,0.994158000010419,6.39333456993935E-06,0.006705964197845,787,87,22,-0.002054287230988,1099.03912162781
9,0.998400977255565,3.87956475137923E-06,0.006290323593532,995,57,28,-0.002067829672841,7800.85900044441
6,0.990188006285994,8.30489343522866E-06,0.008388001034106,906,37,29,-0.002070207385376,12700.35993433
7,0.998940382699029,8.31732742185128E-06,0.003116663093287,704,17,13,-0.002082062785552,5923.64905190468
28,0.994419505129517,1.73301396863864E-06,0.009707709187562,953,76,9,-0.002084772767765,649.539899349213
6,0.991970249994234,2.25006729139066E-06,0.007704520789683,887,31,16,-0.002101009853504,15905.0685288906
5,0.991831588478022,7.67429331994069E-06,0.01291849422083,903,69,28,-0.002146686427921,17259.3833665848
11,0.991865181689439,3.77338020579826E-06,0.010233646211001,960,60,7,-0.002149396938168,18460.1147778034
20,0.991554197235401,2.06366365284078E-06,0.006326298522206,929,12,6,-0.002151940617654,18235.0924594402
8,0.998800542220414,1.81658072440167E-06,0.003659139142849,743,82,27,-0.002155155503251,6433.7477452755
11,0.993441051025177,9.82138979393309E-06,0.008404124488844,327,58,11,-0.002165417051494,649.235867023468
21,0.992013437420027,2.6410886614907E-06,0.004771978071707,931,46,23,-0.002182501914764,20584.2749664783
5,0.997483989405638,8.20238596989557E-06,0.00824418692644,908,64,28,-0.002189311374139,11093.5667965412
7,0.998458061582505,2.98976382113121E-06,0.004268065312473,990,94,23,-0.002242360678869,9110.11134052277
6,0.998600844141657,7.47836315307737E-06,0.009709523092008,888,75,21,-0.002249264320065,8728.84791612625
6,0.998075698241665,8.72469956426453E-06,0.007338708039304,928,18,28,-0.002291759400959,10525.3759684563
5,0.992638291415518,5.41129460405744E-06,0.00489941583005,978,24,29,-0.002315716443694,16926.3953669071
6,0.992373620010569,9.37452376253697E-06,0.007373192562121,834,19,30,-0.002347439001765,16818.9934396744
6,0.998942989985691,2.53267628802471E-06,0.006691047907102,603,74,28,-0.002354689520754,7488.99486923218
6,0.991793979078093,1.77853953181113E-06,0.010715566927692,928,94,21,-0.002366252821919,19822.3238458633
5,0.998737023137965,4.11958422417405E-06,0.012336016272288,747,11,23,-0.002388150958148,8262.72641253471
5,0.998502931796116,6.76538172578744E-06,0.006452467316037,847,62,21,-0.002389647930517,8790.19774103165
5,0.998127722147951,3.22557714152848E-06,0.002773144644222,968,60,21,-0.002389843224879,8424.6003408432
5,0.992237895131957,6.88232863300444E-06,0.004362058514204,847,13,11,-0.002417128258123,15986.2135276794
7,0.990558944743032,3.38909270442438E-06,0.004438743244725,985,76,23,-0.002432221360505,13220.4728417397
25,0.990581999707136,5.12076780110383E-06,0.001497155235128,145,63,10,-0.002443903037917,137.828733682632
5,0.991703825551684,5.67389875166065E-06,0.002925574941245,837,57,18,-0.002450684099434,18027.5401055813
27,0.998747195763276,6.1982468626128E-06,0.00824600965383,694,23,22,-0.002472095439014,648.978453159332
14,0.998801462712622,4.59111097849862E-06,0.008789667658281,102,33,21,-0.002483385021945,1099.95294451714
5,0.992662560066556,5.34855104171155E-06,0.004890069541865,961,75,22,-0.00248987039882,20583.932592392
5,0.998962172629681,4.85449209270744E-06,0.003377357383293,854,58,30,-0.002513234906327,9696.22776603699
19,0.998980602682282,4.6902816430366E-06,0.005289935706659,991,10,22,-0.002518051513471,5585.55745887756
5,0.991899673602025,5.19783801175251E-06,0.005452365799305,964,33,24,-0.002625509659993,20265.4635770321
6,0.99111405378379,9.16364349702891E-06,0.009842806840862,922,18,18,-0.002651399998285,20265.6907999516
26,0.998315101177146,5.28218689123942E-06,0.006120184107939,100,15,10,-0.002659936155174,4009.73440003395
6,0.992894931861738,8.63453408663402E-06,0.013221576203692,866,39,26,-0.002690451103263,15782.4058804512
5,0.998909445168267,1.3927432607794E-06,0.003335308431394,775,22,21,-0.002706339996382,7983.88288521767
5,0.998300125258473,2.38529049994735E-06,0.008820429734125,537,31,27,-0.002728013976284,6791.16372847557
5,0.992513287980712,4.08141215168753E-06,0.004610600251864,864,14,22,-0.002754543138987,17017.7114129066
7,0.998987080557175,5.9148258489691E-06,0.005994740799931,947,44,20,-0.002763940555068,7314.99023270607
6,0.990912329046558,6.57836770110959E-06,0.001556737085556,947,7,5,-0.002777675824649,18340.4146010876
5,0.991681448912841,2.36381794286741E-06,0.008851031661839,956,9,9,-0.002838226610186,19234.9113733768
5,0.998474394593315,5.68084408807658E-06,0.004132675999212,727,72,29,-0.002840452710472,8876.60032176972
5,0.996834407855786,7.35330332619178E-06,0.0065004289646,827,68,23,-0.002892631473706,11281.1550598145
5,0.998291285952437,5.15319545615895E-06,0.003719494758743,833,13,16,-0.002896813226471,6879.7087931633
5,0.991548732555994,7.59144386167293E-06,0.009357596168811,883,80,25,-0.002907140896299,19234.6728651524
6,0.990767890771957,5.2324468240294E-06,0.013212193175997,825,26,21,-0.002924132382032,13349.8187801838
28,0.998834180180191,7.22084409275945E-06,0.009822488167003,719,19,27,-0.002927323956875,3010.4156267643
29,0.996545398344772,7.93146956064896E-06,0.009512870684513,858,14,30,-0.002947731727173,5000.730905056
21,0.998942416321081,4.46483391475584E-06,0.011683352084869,171,32,28,-0.00294783695661,3010.4959218502
20,0.996427442333508,6.39499720762966E-06,0.001122113154081,100,61,16,-0.002965899523891,3010.98789691925
6,0.990845784650563,6.31627034078023E-06,0.01148702503597,985,82,28,-0.003014465557381,14983.087690115
6,0.991926099367747,8.21583002020635E-06,0.009772555379252,872,42,26,-0.003048823138283,15539.0884625912
6,0.998754465897109,3.48197524483652E-06,0.012678347687629,869,67,24,-0.003067123426243,10009.8285398483
19,0.998821179125302,9.53874132624295E-06,0.011910276495673,740,17,23,-0.003067645663396,4009.2537829876
24,0.998910683389219,5.41920515356645E-06,0.000585655461956,928,27,25,-0.00309730956747,5411.36374998093
17,0.992576682592741,9.58231185055299E-06,0.013912803965432,965,25,24,-0.003100371431619,20584.2031261921
5,0.997117732513352,5.84819840220988E-06,0.0037071493019,206,11,5,-0.003105891006528,4490.58740901947
15,0.992256597812993,1.59144830025616E-06,0.007152254813733,939,15,28,-0.003131588162374,21394.0898859501
5,0.991595704415318,5.5226875822199E-06,0.008042690952335,992,25,30,-0.003207886531155,18666.9315950871
5,0.998101075629312,9.40976890780443E-06,0.008597262517939,437,47,26,-0.003213447235968,6791.24773263931
7,0.993026277146125,5.10050903140342E-06,0.010577136091476,915,23,6,-0.003253982206007,1099.68433737755
18,0.996137575823561,1.99318073152154E-06,0.004826166901863,533,27,25,-0.003254906494824,1099.09111714363
18,0.99165179275434,7.98365570468874E-06,0.014139361539231,972,34,27,-0.003255351624907,21394.1372637749
9,0.996044434353715,4.90569899871973E-06,0.002855519988645,448,13,19,-0.003257831551309,1099.60528302193
14,0.998118798389597,4.25069940119528E-06,0.000973316321495,101,45,9,-0.003267561401507,3010.72110700607
6,0.992570534648002,6.7145683255451E-06,0.008475381650442,903,89,28,-0.003336318708476,20722.3555915356
18,0.991791409116404,7.86067886108285E-06,0.011613292166407,936,52,27,-0.003359489544156,21218.3501589298
6,0.991837907742214,6.43643015685508E-06,0.010787096978397,874,34,11,-0.003407652140595,16325.6168825626
8,0.996519037050879,5.67330292561063E-06,0.005601819910805,632,27,8,-0.003419732546662,1099.06196475029
6,0.991067601026437,6.11078254799087E-06,0.014966345474074,856,65,20,-0.003421758343221,17101.4896082878
5,0.992045342215257,7.95416525396956E-06,0.012228290379096,910,33,7,-0.003437448592828,18912.0478525162
26,0.998902254799915,7.56742867965341E-06,0.004786570629599,102,29,7,-0.003450097756065,3010.61698317528
6,0.990646681903946,6.75395147492426E-06,0.007557138557378,878,61,21,-0.003453325436107,13610.7510950565
5,0.991827148440662,3.82810940422615E-06,0.011130951465725,921,23,29,-0.00348652488557,21024.93288064
10,0.993460872437403,7.38809386546986E-06,0.007906636224647,938,9,20,-0.003514776478129,1895.31122684479
10,0.992081920449467,7.10693020474654E-06,0.010672275254247,947,26,23,-0.003573227771803,21218.1754176617
